Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_bmw i3,Vehicle Model_chevy bolt,Vehicle Model_hyundai kona,Vehicle Model_nissan leaf,Vehicle Model_tesla model 3,Charging Station Location_chicago,Charging Station Location_houston,Charging Station Location_los angeles,Charging Station Location_new york,Charging Station Location_san francisco,Time of Day_afternoon,Time of Day_evening,Time of Day_morning,Time of Day_night,Day of Week_friday,Day of Week_monday,Day of Week_saturday,Day of Week_sunday,Day of Week_thursday,Day of Week_tuesday,Day of Week_wednesday,Charger Type_dc fast charger,Charger Type_level 1,Charger Type_level 2,User Type_casual driver,User Type_commuter,User Type_long-distance traveler
108.46300741284072,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
100.0,12.339275203733752,3.133652052688084,30.677734939714437,21.12844792913739,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
75.0,19.128875700115476,2.4526527258367823,27.513592558773237,35.66727042356739,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
50.0,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,83.12000296074223,99.62432763119423,199.5777845163286,38.316313160363435,1.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,43.18113714248533,1.1676401541014236,14.33452277611833,36.90034077796173,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
85.0,36.862139988267536,3.5396190263161467,26.185187860033516,22.21422517569784,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
75.0,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
62.0,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
50.0,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,27.399454625609152,70.05338137780706,54.00630919992556,27.51201936462591,2.830381306943589,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
50.0,18.206197477378716,2.6486354477276968,10.310701112892176,38.221230704051806,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
85.0,22.564929484106763,2.0578886215204486,4.46482262892762,14.0508613520737,14.618902372078484,85.85749415419053,194.76380668173775,34.26261127319235,0.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
100.0,34.256452908516025,3.065584752022803,5.523688619042968,10.972135997218215,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
75.0,16.56106432522506,3.5909657181461028,19.769098717557156,37.44185660286842,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
85.0,12.927545290947553,3.4218093378407497,24.211150117119175,18.552815677456245,71.68354383511853,63.70663794066834,155.36060543681995,39.50544568765913,4.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
100.0,27.354317884610715,2.703286127534274,11.112498841670842,33.093492711055774,10.677153729384765,72.40347015226732,247.6594369214761,-8.30213689912669,1.5352340877952697,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
97.681812229825,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
50.0,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,57.59519511951953,74.96195034708379,22.00682916343814,18.405709050259357,6.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
100.0,42.63801819167288,0.8075321582617996,20.49084604597367,25.0787937101842,55.51705087402344,52.7134886858277,280.8620709755801,37.430356532255,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,48.48248430757049,2.5809253540076567,45.29143534649799,7.090844200594135,12.754877571721774,116.0956568894014,243.25576946966927,9.202409891916812,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
50.0,50.27906667357191,3.16887289218907,30.489960233968674,28.872894608008124,16.545512365179043,77.93632713949575,15.420444595980063,33.980310103059054,3.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
62.0,59.1350316162392,2.9317614950957465,25.603799331857445,34.85323440188442,71.5303121297424,75.97435158703122,219.62635692143417,-2.755069331695,5.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
75.0,49.19642958971384,2.5628173042684104,19.194882837079632,14.856131218606723,49.02423910950519,64.48187393759193,298.18812231836336,39.95893731677202,4.257936702758294,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
100.0,68.44712632026376,2.0714292092234388,49.71030696901287,38.406061696059425,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
100.0,27.60438468247694,0.9571376601264636,11.238538626794044,24.03753468851581,65.48688658113335,65.35209627449626,173.47152650529225,35.977821918048456,4.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
75.0,40.178003499947216,3.604173535372615,12.31861479590845,38.76319382514176,80.34408372714871,79.99556313119572,82.75461394014503,21.53684396835515,1.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
75.0,43.487751224792326,3.652540335433942,36.18237188372349,27.44831088430594,88.74847907153811,87.82402899882813,80.91266512306521,29.872209873061493,0.3612151658030595,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
50.0,10.338517723856468,1.547713717696371,45.7767311942711,9.855826892937216,98.3327953116332,94.50485176968456,162.6865443608225,5.504758728380647,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
75.0,31.684484586574477,2.4396779381538938,48.64872319079225,25.617103995808733,34.72763909597674,54.40205038521579,152.25986699080715,20.37856231027433,3.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
75.0,56.59325685914933,3.153257254972797,45.81173100244055,33.13209178024766,29.207671702279008,85.00810624066354,186.15573210131024,12.333415373869066,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
100.0,19.473800595427143,1.435532787267766,7.043936342279247,36.945272915195176,31.320786979519863,78.05665281794616,152.25986699080715,8.352906076534808,2.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
