Battery Capacity (kWh),Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_BMW i3,Vehicle Model_Chevy Bolt,Vehicle Model_Hyundai Kona,Vehicle Model_Nissan Leaf,Vehicle Model_Tesla Model 3,Charging Station Location_Chicago,Charging Station Location_Houston,Charging Station Location_Los Angeles,Charging Station Location_New York,Charging Station Location_San Francisco,Time of Day_Afternoon,Time of Day_Evening,Time of Day_Morning,Time of Day_Night,Day of Week_Friday,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Charger Type_DC Fast Charger,Charger Type_Level 1,Charger Type_Level 2,User Type_Casual Driver,User Type_Commuter,User Type_Long-Distance Traveler
108.46,2024-01-01,2024-01-01,60.71,0.59,36.39,13.09,29.37,86.12,293.6,27.95,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
100.0,2024-01-01,2024-01-01,12.34,3.13,30.68,21.13,10.12,84.66,112.11,14.31,3.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
75.0,2024-01-01,2024-01-01,19.13,2.45,27.51,35.67,6.85,69.92,71.8,21.0,2.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
50.0,2024-01-01,2024-01-01,79.46,1.27,32.88,13.04,83.12,99.62,199.58,38.32,1.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,2024-01-01,2024-01-01,19.63,2.02,10.22,10.16,54.26,63.74,203.66,-7.83,1.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
50.0,2024-01-01,2024-01-01,43.18,1.17,14.33,36.9,75.22,71.98,143.68,-5.27,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
85.0,2024-01-01,2024-01-01,36.86,3.54,26.19,22.21,60.75,70.8,81.34,27.55,4.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
75.0,2024-01-01,2024-01-01,51.47,2.66,26.7,9.8,56.2,63.79,116.54,-4.42,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
62.0,2024-01-01,2024-01-01,43.59,1.72,14.29,32.47,33.47,92.96,208.26,22.52,4.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
50.0,2024-01-01,2024-01-01,78.87,2.03,11.76,21.31,27.4,70.05,54.01,27.51,2.83,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
