Year,GDP Real (USD),GDP growth (%),Per Capita,World Population,Net Change,Population change (%),Fossil CO2 Emissions (tons),CO2 emissions change,CO2 emissions per capita,Population Density (P/Km²),Fossil CO2 Emissions (tons) (lag1),CO2 emissions per capita (lag1),World Population (lag1),GDP Real (USD) (lag1),GDP growth (%) (lag1)
1978,25000000000000.0,0.0416,5819,4292097502,74233706,0.0176,19508784910,0.0263,4.55,29,19008069630.0,4.51,4217863796.0,24000000000000.0,0.0401
1979,26000000000000.0,0.0418,5957,4368539528,76442026,0.0178,20047744460,0.0276,4.59,29,19508784910.0,4.55,4292097502.0,25000000000000.0,0.0416
1980,26500000000000.0,0.0188,5961,4447606236,79066708,0.0181,19788043060,-0.013,4.45,30,20047744460.0,4.59,4368539528.0,26000000000000.0,0.0418
1981,27000000000000.0,0.0194,5968,4528777306,81171070,0.0183,19422670490,-0.0185,4.29,30,19788043060.0,4.45,4447606236.0,26500000000000.0,0.0188
1982,27100000000000.0,0.006137500000000001,5880,4612673421,83896115,0.0185,19169203050,-0.0131,4.16,31,19422670490.0,4.29,4528777306.0,27000000000000.0,0.0194
1983,27800000000000.0,0.0263,5926,4697327573,84654152,0.0184,19307236260,0.0072,4.11,32,19169203050.0,4.16,4612673421.0,27100000000000.0,0.006137500000000001
1984,29100000000000.0,0.0468,6093,4782175519,84847946,0.0181,19926536400,0.0321,4.17,32,19307236260.0,4.11,4697327573.0,27800000000000.0,0.0263
1985,30200000000000.0,0.0371,6206,4868943465,86767946,0.0181,20185802360,0.013,4.15,33,19926536400.0,4.17,4782175519.0,29100000000000.0,0.0468
1986,31200000000000.0,0.0323,6292,4958072838,89129373,0.0183,20541707830,0.0176,4.14,33,20185802360.0,4.15,4868943465.0,30200000000000.0,0.0371
1987,32400000000000.0,0.0375,6409,5049746397,91673559,0.0185,21190595500,0.0316,4.2,34,20541707830.0,4.14,4958072838.0,31200000000000.0,0.0323
1988,33800000000000.0,0.0455,6581,5141992542,92246145,0.0183,21946990560,0.0357,4.27,35,21190595500.0,4.2,5049746397.0,32400000000000.0,0.0375
1989,35100000000000.0,0.0372,6705,5234431732,92439190,0.018,22333211520,0.0176,4.27,35,21946990560.0,4.27,5141992542.0,33800000000000.0,0.0455
1990,36100000000000.0,0.0272,6767,5327803110,93371378,0.0178,22516769410,0.0082,4.23,36,22333211520.0,4.27,5234431732.0,35100000000000.0,0.0372
1991,36500000000000.0,0.0121,6734,5418735891,90932781,0.0171,22654806350,0.0061,4.18,36,22516769410.0,4.23,5327803110.0,36100000000000.0,0.0272
1992,37200000000000.0,0.0202,6761,5505989816,87253925,0.0161,22564252780,-0.004,4.1,37,22654806350.0,4.18,5418735891.0,36500000000000.0,0.0121
1993,37900000000000.0,0.0184,6780,5591544797,85554981,0.0155,22672034380,0.0048,4.05,38,22564252780.0,4.1,5505989816.0,37200000000000.0,0.0202
1994,39200000000000.0,0.0334,6903,5675551255,84006458,0.015,22891582830,0.0097,4.03,38,22672034380.0,4.05,5591544797.0,37900000000000.0,0.0184
